,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
662,534706933.1557733669,Paid Search,20190513,1,1557733669,12,9,48,[Search] [FR] Reference - Quatre,cpc,bague 4 boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,"Serpent Bohème Two-stone ring, S motifs",Jewelry
663,875079871.1509978757,Organic Search,20190624,2,1561386395,130,16,41,(not set),organic,(not provided),Paris,/fr_fr/les-creations/horlogerie/epure/montre-epure-acier-cadran-blanc.html,Product,Get to product details,More detail,,
664,376360576.1569228331,Organic Search,20190925,2,1569412861,20,14,1,(not set),organic,boucheron ring quatre grosgrain,Paris,/fr_fr/les-creations/joaillerie/quatre/l/bagues.html,Video,Start playing,miss_b_francais,,
665,1141130364.1566766720,Email,20190825,1,1566766720,28,23,1,SUMMER LOVE IN PARIS_FR_2019_August,email,SUMMER LOVE IN PARIS_FR_2019_August,Rueil-Malmaison,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Toi et Moi Ring S Motif,Jewelry
666,191373183.1566753884,Email,20190825,1,1566753884,20,19,25,SUMMER LOVE IN PARIS_FR_2019_August,email,SUMMER LOVE IN PARIS_FR_2019_August,Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
667,1611763972.1559414497,Direct,20190601,1,1559414497,35,20,43,(not set),(none),(not set),Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,Goutte Ring,Jewelry
668,675053655.1569259460,Direct,20190923,2,1569267282,19,21,37,(not set),(none),(not set),Pontault-Combault,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 16,Soleil Radiant Necklace,Jewelry
669,560303698.1552027796,Direct,20190308,1,1552027796,12,7,58,(not set),(none),(not set),Lyon,/fr_fr/bague-ava-pivoine.html?pageCategory=product,Product,Hide Price,Bague Pivoine,,
670,1734782246.1546635790,Direct,20190104,1,1546635790,2,22,3,(not set),(none),(not set),La Rochelle,/fr_fr/les-creations/mariage-fiancailles/solitaires-diamant/solitaire-facette-or-rose.html?pageCategory=product,Newsletter,newsletter Popin Displayed,/fr_fr/les-creations/mariage-fiancailles/solitaires-diamant/solitaire-facette-or-rose.html,,
671,226513857.1546789573,Direct,20190106,1,1546789573,3,16,46,(not set),(none),(not set),Saintes,/fr_fr/les-creations/joaillerie/quatre.html,Newsletter,newsletter Popin Displayed,/fr_fr/les-creations/joaillerie/quatre.html,,
672,133612808.1469357454,Direct,20190218,1,1550477628,5,9,14,(not set),(none),(not set),Paris,/fr_fr/les-creations/haute-joaillerie/hotel-de-la-lumiere/fleur-du-jour.html,Video,130702_boucheron_fleur_du_jour_fr - Pause,/fr_fr/les-creations/haute-joaillerie/hotel-de-la-lumiere/fleur-du-jour.html,,
673,1679433166.1561492170,Direct,20190625,1,1561492169,15,21,49,(not set),(none),(not set),Porto-Vecchio,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 14,"Nara, the Doe Ring",not provided
674,1659284664.1564573780,Direct,20190810,3,1565444318,25,15,38,(not set),(none),(not set),Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 24,Quatre Radiant Edition Ring,Jewelry
675,1112994062.1561632961,Direct,20190627,1,1561632961,40,12,57,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 10,"Meisa, the Chickadee ring",not provided
676,2018229944.1489131607,Direct,20190612,1,1560376608,8,23,57,(not set),(none),(not set),Paris,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,Navigation,Outbound link,https://medias.boucheron.com/skin/frontend/boucheron/default/images/hj-nature-triomphante/products/JRG0290254.jpg,,
677,400325171.1568104073,Direct,20190912,2,1568302769,9,17,40,(not set),(none),(not set),Neuilly-sur-Seine,/fr_fr/les-creations/joaillerie/quatre.html,Video,Reached 50%,miss_b_francais,,
